SE,ds,y,unique_id
202452,2024-12-22,42,1
202451,2024-12-15,65,1
202450,2024-12-08,82,1
202449,2024-12-01,85,1
202448,2024-11-24,99,1
202447,2024-11-17,126,1
202446,2024-11-10,104,1
202445,2024-11-03,92,1
202444,2024-10-27,90,1
202443,2024-10-20,88,1
202442,2024-10-13,64,1
202441,2024-10-06,74,1
202440,2024-09-29,67,1
202439,2024-09-22,92,1
202438,2024-09-15,96,1
202437,2024-09-08,93,1
202436,2024-09-01,96,1
202435,2024-08-25,128,1
202434,2024-08-18,117,1
202433,2024-08-11,123,1
202432,2024-08-04,144,1
202431,2024-07-28,136,1
202430,2024-07-21,127,1
202429,2024-07-14,139,1
202428,2024-07-07,155,1
202427,2024-06-30,165,1
202426,2024-06-23,169,1
202425,2024-06-16,169,1
202424,2024-06-09,236,1
202423,2024-06-02,222,1
202422,2024-05-26,191,1
202421,2024-05-19,288,1
202420,2024-05-12,292,1
202419,2024-05-05,330,1
202418,2024-04-28,366,1
202417,2024-04-21,455,1
202416,2024-04-14,551,1
202415,2024-04-07,726,1
202414,2024-03-31,786,1
202413,2024-03-24,554,1
202412,2024-03-17,597,1
202411,2024-03-10,617,1
202410,2024-03-03,643,1
202409,2024-02-25,562,1
202408,2024-02-18,449,1
202407,2024-02-11,336,1
202406,2024-02-04,262,1
202405,2024-01-28,275,1
202404,2024-01-21,211,1
202403,2024-01-14,184,1
202402,2024-01-07,137,1
202401,2023-12-31,145,1
202352,2023-12-24,34,1
202351,2023-12-17,27,1
202350,2023-12-10,72,1
202349,2023-12-03,96,1
202348,2023-11-26,99,1
202347,2023-11-19,120,1
202346,2023-11-12,87,1
202345,2023-11-05,108,1
202344,2023-10-29,118,1
202343,2023-10-22,118,1
202342,2023-10-15,137,1
202341,2023-10-08,139,1
202340,2023-10-01,174,1
202339,2023-09-24,146,1
202338,2023-09-17,169,1
202337,2023-09-10,168,1
202336,2023-09-03,208,1
202335,2023-08-27,201,1
202334,2023-08-20,217,1
202333,2023-08-13,179,1
202332,2023-08-06,191,1
202331,2023-07-30,230,1
202330,2023-07-23,203,1
202329,2023-07-16,244,1
202328,2023-07-09,302,1
202327,2023-07-02,313,1
202326,2023-06-25,252,1
202325,2023-06-18,309,1
202324,2023-06-11,316,1
202323,2023-06-04,344,1
202322,2023-05-28,363,1
202321,2023-05-21,399,1
202320,2023-05-14,342,1
202319,2023-05-07,417,1
202318,2023-04-30,447,1
202317,2023-04-23,391,1
202316,2023-04-16,458,1
202315,2023-04-09,467,1
202314,2023-04-02,414,1
202313,2023-03-26,583,1
202312,2023-03-19,730,1
202311,2023-03-12,783,1
202310,2023-03-05,760,1
202309,2023-02-26,713,1
202308,2023-02-19,506,1
202307,2023-02-12,350,1
202306,2023-02-05,312,1
202305,2023-01-29,265,1
202304,2023-01-22,270,1
202303,2023-01-15,255,1
202302,2023-01-08,187,1
202301,2023-01-01,263,1
202252,2022-12-25,140,1
202251,2022-12-18,98,1
202250,2022-12-11,102,1
202249,2022-12-04,118,1
202248,2022-11-27,173,1
202247,2022-11-20,176,1
202246,2022-11-13,254,1
