SE,data_iniSE,casos
202526,2025-06-22,71
202525,2025-06-15,86
202524,2025-06-08,84
202523,2025-06-01,90
202522,2025-05-25,132
202521,2025-05-18,150
202520,2025-05-11,158
202519,2025-05-04,144
202518,2025-04-27,150
202517,2025-04-20,133
202516,2025-04-13,129
202515,2025-04-06,110
202514,2025-03-30,144
202513,2025-03-23,145
202512,2025-03-16,164
202511,2025-03-09,194
202510,2025-03-02,186
202509,2025-02-23,118
202508,2025-02-16,160
202507,2025-02-09,174
202506,2025-02-02,143
202505,2025-01-26,135
202504,2025-01-19,126
202503,2025-01-12,90
202502,2025-01-05,94
202501,2024-12-29,70
202452,2024-12-22,42
202451,2024-12-15,65
202450,2024-12-08,82
202449,2024-12-01,85
202448,2024-11-24,99
202447,2024-11-17,126
202446,2024-11-10,104
202445,2024-11-03,92
202444,2024-10-27,90
202443,2024-10-20,89
202442,2024-10-13,64
202441,2024-10-06,74
202440,2024-09-29,67
202439,2024-09-22,92
202438,2024-09-15,96
202437,2024-09-08,93
202436,2024-09-01,96
202435,2024-08-25,128
202434,2024-08-18,117
202433,2024-08-11,123
202432,2024-08-04,144
202431,2024-07-28,136
202430,2024-07-21,127
202429,2024-07-14,139
202428,2024-07-07,155
202427,2024-06-30,165
202426,2024-06-23,170
202425,2024-06-16,169
202424,2024-06-09,236
202423,2024-06-02,222
202422,2024-05-26,191
202421,2024-05-19,288
202420,2024-05-12,292
202419,2024-05-05,330
202418,2024-04-28,366
202417,2024-04-21,455
202416,2024-04-14,551
202415,2024-04-07,726
202414,2024-03-31,786
202413,2024-03-24,554
202412,2024-03-17,597
202411,2024-03-10,617
202410,2024-03-03,643
202409,2024-02-25,562
202408,2024-02-18,449
202407,2024-02-11,336
202406,2024-02-04,262
202405,2024-01-28,275
202404,2024-01-21,211
202403,2024-01-14,184
202402,2024-01-07,137
202401,2023-12-31,145
202352,2023-12-24,34
202351,2023-12-17,27
202350,2023-12-10,72
202349,2023-12-03,96
202348,2023-11-26,99
202347,2023-11-19,120
202346,2023-11-12,87
202345,2023-11-05,108
202344,2023-10-29,118
202343,2023-10-22,118
202342,2023-10-15,137
202341,2023-10-08,139
202340,2023-10-01,174
202339,2023-09-24,146
202338,2023-09-17,169
202337,2023-09-10,168
202336,2023-09-03,208
202335,2023-08-27,201
202334,2023-08-20,217
202333,2023-08-13,179
202332,2023-08-06,191
202331,2023-07-30,230
202330,2023-07-23,203
202329,2023-07-16,244
202328,2023-07-09,302
202327,2023-07-02,313
202326,2023-06-25,252
202325,2023-06-18,309
202324,2023-06-11,316
202323,2023-06-04,344
202322,2023-05-28,363
202321,2023-05-21,399
202320,2023-05-14,342
202319,2023-05-07,417
202318,2023-04-30,447
202317,2023-04-23,391
202316,2023-04-16,458
202315,2023-04-09,467
202314,2023-04-02,414
202313,2023-03-26,583
202312,2023-03-19,730
202311,2023-03-12,783
202310,2023-03-05,760
202309,2023-02-26,713
202308,2023-02-19,506
202307,2023-02-12,350
202306,2023-02-05,312
202305,2023-01-29,265
202304,2023-01-22,270
202303,2023-01-15,255
202302,2023-01-08,187
202301,2023-01-01,263
202252,2022-12-25,140
202251,2022-12-18,98
202250,2022-12-11,102
202249,2022-12-04,118
202248,2022-11-27,173
202247,2022-11-20,176
202246,2022-11-13,254
202245,2022-11-06,200
202244,2022-10-30,159
202243,2022-10-23,160
202242,2022-10-16,204
202241,2022-10-09,192
202240,2022-10-02,297
202239,2022-09-25,260
202238,2022-09-18,360
202237,2022-09-11,398
202236,2022-09-04,451
202235,2022-08-28,442
202234,2022-08-21,473
202233,2022-08-14,568
202232,2022-08-07,605
202231,2022-07-31,859
202230,2022-07-24,735
202229,2022-07-17,816
202228,2022-07-10,747
202227,2022-07-03,938
202226,2022-06-26,1538
202225,2022-06-19,1710
202224,2022-06-12,1849
202223,2022-06-05,2289
202222,2022-05-29,2293
202221,2022-05-22,1754
202220,2022-05-15,2620
202219,2022-05-08,2604
202218,2022-05-01,2269
202217,2022-04-24,1776
202216,2022-04-17,1803
202215,2022-04-10,1501
202214,2022-04-03,1320
202213,2022-03-27,989
202212,2022-03-20,780
202211,2022-03-13,687
202210,2022-03-06,490
202209,2022-02-27,439
202208,2022-02-20,322
202207,2022-02-13,298
202206,2022-02-06,187
202205,2022-01-30,138
202204,2022-01-23,115
202203,2022-01-16,169
202202,2022-01-09,242
202201,2022-01-02,210
202152,2021-12-26,19
202151,2021-12-19,133
202150,2021-12-12,325
202149,2021-12-05,279
202148,2021-11-28,191
202147,2021-11-21,198
202146,2021-11-14,191
202145,2021-11-07,195
202144,2021-10-31,252
202143,2021-10-24,221
202142,2021-10-17,276
202141,2021-10-10,270
202140,2021-10-03,236
202139,2021-09-26,336
202138,2021-09-19,369
202137,2021-09-12,401
202136,2021-09-05,390
202135,2021-08-29,443
202134,2021-08-22,545
202133,2021-08-15,722
202132,2021-08-08,768
202131,2021-08-01,904
202130,2021-07-25,951
202129,2021-07-18,1158
202128,2021-07-11,1370
202127,2021-07-04,1380
202126,2021-06-27,1457
202125,2021-06-20,1697
202124,2021-06-13,1752
202123,2021-06-06,2084
202122,2021-05-30,1944
202121,2021-05-23,1414
202120,2021-05-16,1303
202119,2021-05-09,1368
202118,2021-05-02,1037
202117,2021-04-25,751
202116,2021-04-18,574
202115,2021-04-11,496
202114,2021-04-04,453
202113,2021-03-28,258
202112,2021-03-21,251
202111,2021-03-14,235
202110,2021-03-07,272
202109,2021-02-28,244
202108,2021-02-21,217
202107,2021-02-14,220
202106,2021-02-07,184
202105,2021-01-31,164
202104,2021-01-24,127
202103,2021-01-17,130
202102,2021-01-10,116
202101,2021-01-03,123
202053,2020-12-27,54
202052,2020-12-20,89
202051,2020-12-13,79
202050,2020-12-06,105
202049,2020-11-29,112
202048,2020-11-22,100
202047,2020-11-15,122
202046,2020-11-08,107
202045,2020-11-01,124
202044,2020-10-25,78
202043,2020-10-18,93
202042,2020-10-11,116
202041,2020-10-04,115
202040,2020-09-27,140
202039,2020-09-20,124
202038,2020-09-13,162
202037,2020-09-06,160
202036,2020-08-30,182
202035,2020-08-23,242
202034,2020-08-16,293
202033,2020-08-09,272
202032,2020-08-02,276
202031,2020-07-26,328
202030,2020-07-19,338
202029,2020-07-12,416
202028,2020-07-05,437
202027,2020-06-28,506
202026,2020-06-21,490
202025,2020-06-14,436
202024,2020-06-07,388
202023,2020-05-31,371
202022,2020-05-24,297
202021,2020-05-17,334
202020,2020-05-10,357
202019,2020-05-03,477
202018,2020-04-26,591
202017,2020-04-19,599
202016,2020-04-12,535
202015,2020-04-05,415
202014,2020-03-29,403
202013,2020-03-22,296
202012,2020-03-15,421
202011,2020-03-08,779
202010,2020-03-01,736
202009,2020-02-23,834
202008,2020-02-16,587
202007,2020-02-09,552
202006,2020-02-02,405
202005,2020-01-26,313
202004,2020-01-19,258
202003,2020-01-12,235
202002,2020-01-05,167
202001,2019-12-29,72
201952,2019-12-22,66
201951,2019-12-15,89
201950,2019-12-08,91
201949,2019-12-01,111
201948,2019-11-24,82
201947,2019-11-17,88
201946,2019-11-10,86
201945,2019-11-03,110
201944,2019-10-27,110
201943,2019-10-20,104
201942,2019-10-13,81
201941,2019-10-06,76
201940,2019-09-29,122
201939,2019-09-22,154
201938,2019-09-15,156
201937,2019-09-08,137
201936,2019-09-01,147
201935,2019-08-25,155
201934,2019-08-18,153
201933,2019-08-11,183
201932,2019-08-04,189
201931,2019-07-28,211
201930,2019-07-21,212
201929,2019-07-14,193
201928,2019-07-07,229
201927,2019-06-30,210
201926,2019-06-23,176
201925,2019-06-16,197
201924,2019-06-09,227
201923,2019-06-02,260
201922,2019-05-26,288
201921,2019-05-19,322
201920,2019-05-12,371
201919,2019-05-05,328
201918,2019-04-28,392
201917,2019-04-21,436
201916,2019-04-14,426
201915,2019-04-07,601
201914,2019-03-31,670
201913,2019-03-24,436
201912,2019-03-17,285
201911,2019-03-10,269
201910,2019-03-03,187
201909,2019-02-24,157
201908,2019-02-17,119
201907,2019-02-10,103
201906,2019-02-03,110
201905,2019-01-27,120
201904,2019-01-20,141
201903,2019-01-13,104
201902,2019-01-06,87
201901,2018-12-30,85
201852,2018-12-23,43
201851,2018-12-16,40
201850,2018-12-09,50
201849,2018-12-02,56
201848,2018-11-25,27
201847,2018-11-18,48
201846,2018-11-11,36
201845,2018-11-04,37
201844,2018-10-28,30
201843,2018-10-21,36
201842,2018-10-14,32
201841,2018-10-07,35
201840,2018-09-30,40
201839,2018-09-23,30
201838,2018-09-16,41
201837,2018-09-09,36
201836,2018-09-02,28
201835,2018-08-26,35
201834,2018-08-19,43
201833,2018-08-12,51
201832,2018-08-05,61
201831,2018-07-29,64
201830,2018-07-22,84
201829,2018-07-15,76
201828,2018-07-08,72
201827,2018-07-01,69
201826,2018-06-24,55
201825,2018-06-17,66
201824,2018-06-10,79
201823,2018-06-03,91
201822,2018-05-27,95
201821,2018-05-20,132
201820,2018-05-13,131
201819,2018-05-06,140
201818,2018-04-29,173
201817,2018-04-22,216
201816,2018-04-15,342
201815,2018-04-04,431
201814,2018-04-01,391
201813,2018-03-25,291
201812,2018-03-18,176
201811,2018-03-11,209
201810,2018-03-04,155
201809,2018-02-25,169
201808,2018-02-18,173
201807,2018-02-11,108
201806,2018-02-04,135
201805,2018-01-28,138
201804,2018-01-21,119
201803,2018-01-14,121
201802,2018-01-07,117
201801,2017-12-31,115
201752,2017-12-24,67
201751,2017-12-17,70
201750,2017-12-10,65
201749,2017-12-03,57
201748,2017-11-26,64
201747,2017-11-19,72
201746,2017-11-12,68
201745,2017-11-05,109
201744,2017-10-29,86
201743,2017-10-22,47
201742,2017-10-15,59
201741,2017-10-08,225
201740,2017-10-01,273
201739,2017-09-24,416
201738,2017-09-17,364
201737,2017-09-10,193
201736,2017-09-03,68
201735,2017-08-27,94
201734,2017-08-20,106
201733,2017-08-13,96
201732,2017-08-06,122
201731,2017-07-30,132
201730,2017-07-23,185
201729,2017-07-16,189
201728,2017-07-09,184
201727,2017-07-02,175
201726,2017-06-25,188
201725,2017-06-18,234
201724,2017-06-11,283
201723,2017-06-04,455
201722,2017-05-28,582
201721,2017-05-21,650
201720,2017-05-14,1133
201719,2017-05-07,1415
201718,2017-04-30,1615
201717,2017-04-23,2728
201716,2017-04-16,2931
201715,2017-04-09,3685
201714,2017-04-02,3350
