Data,Previsão
2025-01-05,57.22727
2025-01-12,69.40795
2025-01-19,84.10245
2025-01-26,101.21862
2025-02-02,123.01243
2025-02-09,148.01897
2025-02-16,177.33595
2025-02-23,211.15572
2025-03-02,249.82202
2025-03-09,293.78455
2025-03-16,343.29813
2025-03-23,398.57147
2025-03-30,459.62006
2025-04-06,526.22516
2025-04-13,597.87683
2025-04-20,673.7126
2025-04-27,752.49146
2025-05-04,832.5961
2025-05-11,912.08606
2025-05-18,988.8078
2025-05-25,1060.5569
2025-06-01,1125.2794
2025-06-08,1181.279
2025-06-15,1227.3947
2025-06-22,1263.1123
2025-06-29,1288.5894
2025-07-06,1304.5905
2025-07-13,1312.3516
2025-07-20,1313.4064
2025-07-27,1309.4043
2025-08-03,1301.9542
2025-08-10,1292.5038
2025-08-17,1282.2659
2025-08-24,1272.1859
2025-08-31,1262.9415
2025-09-07,1254.9662
2025-09-14,1248.4845
2025-09-21,1243.5552
2025-09-28,1240.1125
2025-10-05,1238.0056
2025-10-12,1237.0317
2025-10-19,1236.9641
2025-10-26,1237.5736
2025-11-02,1238.6445
2025-11-09,1239.9857
2025-11-16,1241.437
2025-11-23,1242.8716
2025-11-30,1244.1965
2025-12-07,1245.3501
2025-12-14,1246.2975
2025-12-21,1247.0275
2025-12-28,1247.546
