SE,data,casos,ano,mes,dia,semana
202452,2024-12-22,43,2024,12,22,52
202451,2024-12-15,71,2024,12,15,51
202450,2024-12-08,81,2024,12,8,50
202449,2024-12-01,84,2024,12,1,49
202448,2024-11-24,99,2024,11,24,48
202447,2024-11-17,126,2024,11,17,47
202446,2024-11-10,105,2024,11,10,46
202445,2024-11-03,92,2024,11,3,45
202444,2024-10-27,90,2024,10,27,44
202443,2024-10-20,88,2024,10,20,43
202442,2024-10-13,64,2024,10,13,42
202441,2024-10-06,74,2024,10,6,41
202440,2024-09-29,67,2024,9,29,40
202439,2024-09-22,92,2024,9,22,39
202438,2024-09-15,96,2024,9,15,38
202437,2024-09-08,92,2024,9,8,37
202436,2024-09-01,96,2024,9,1,36
202435,2024-08-25,128,2024,8,25,35
202434,2024-08-18,117,2024,8,18,34
202433,2024-08-11,124,2024,8,11,33
202432,2024-08-04,145,2024,8,4,32
202431,2024-07-28,136,2024,7,28,31
202430,2024-07-21,127,2024,7,21,30
202429,2024-07-14,139,2024,7,14,29
202428,2024-07-07,155,2024,7,7,28
202427,2024-06-30,165,2024,6,30,27
202426,2024-06-23,169,2024,6,23,26
202425,2024-06-16,169,2024,6,16,25
202424,2024-06-09,236,2024,6,9,24
202423,2024-06-02,222,2024,6,2,23
202422,2024-05-26,191,2024,5,26,22
202421,2024-05-19,288,2024,5,19,21
202420,2024-05-12,292,2024,5,12,20
202419,2024-05-05,330,2024,5,5,19
202418,2024-04-28,366,2024,4,28,18
202417,2024-04-21,455,2024,4,21,17
202416,2024-04-14,551,2024,4,14,16
202415,2024-04-07,726,2024,4,7,15
202414,2024-03-31,786,2024,3,31,14
202413,2024-03-24,554,2024,3,24,13
202412,2024-03-17,597,2024,3,17,12
202411,2024-03-10,617,2024,3,10,11
202410,2024-03-03,643,2024,3,3,10
202409,2024-02-25,562,2024,2,25,09
202408,2024-02-18,449,2024,2,18,08
202407,2024-02-11,336,2024,2,11,07
202406,2024-02-04,262,2024,2,4,06
202405,2024-01-28,275,2024,1,28,05
202404,2024-01-21,211,2024,1,21,04
202403,2024-01-14,184,2024,1,14,03
202402,2024-01-07,137,2024,1,7,02
202401,2023-12-31,145,2023,12,31,01
202352,2023-12-24,34,2023,12,24,52
202351,2023-12-17,27,2023,12,17,51
202350,2023-12-10,72,2023,12,10,50
202349,2023-12-03,96,2023,12,3,49
202348,2023-11-26,99,2023,11,26,48
202347,2023-11-19,120,2023,11,19,47
202346,2023-11-12,87,2023,11,12,46
202345,2023-11-05,108,2023,11,5,45
202344,2023-10-29,118,2023,10,29,44
202343,2023-10-22,118,2023,10,22,43
202342,2023-10-15,137,2023,10,15,42
202341,2023-10-08,139,2023,10,8,41
202340,2023-10-01,174,2023,10,1,40
202339,2023-09-24,146,2023,9,24,39
202338,2023-09-17,169,2023,9,17,38
202337,2023-09-10,168,2023,9,10,37
202336,2023-09-03,208,2023,9,3,36
202335,2023-08-27,201,2023,8,27,35
202334,2023-08-20,217,2023,8,20,34
202333,2023-08-13,179,2023,8,13,33
202332,2023-08-06,191,2023,8,6,32
202331,2023-07-30,230,2023,7,30,31
202330,2023-07-23,203,2023,7,23,30
202329,2023-07-16,244,2023,7,16,29
202328,2023-07-09,302,2023,7,9,28
202327,2023-07-02,313,2023,7,2,27
202326,2023-06-25,252,2023,6,25,26
202325,2023-06-18,309,2023,6,18,25
202324,2023-06-11,316,2023,6,11,24
202323,2023-06-04,344,2023,6,4,23
202322,2023-05-28,363,2023,5,28,22
202321,2023-05-21,399,2023,5,21,21
202320,2023-05-14,342,2023,5,14,20
202319,2023-05-07,417,2023,5,7,19
202318,2023-04-30,447,2023,4,30,18
202317,2023-04-23,391,2023,4,23,17
202316,2023-04-16,458,2023,4,16,16
202315,2023-04-09,467,2023,4,9,15
202314,2023-04-02,414,2023,4,2,14
202313,2023-03-26,583,2023,3,26,13
202312,2023-03-19,730,2023,3,19,12
202311,2023-03-12,783,2023,3,12,11
202310,2023-03-05,760,2023,3,5,10
202309,2023-02-26,713,2023,2,26,09
202308,2023-02-19,506,2023,2,19,08
202307,2023-02-12,350,2023,2,12,07
202306,2023-02-05,312,2023,2,5,06
202305,2023-01-29,265,2023,1,29,05
202304,2023-01-22,270,2023,1,22,04
202303,2023-01-15,255,2023,1,15,03
202302,2023-01-08,187,2023,1,8,02
202301,2023-01-01,263,2023,1,1,01
202252,2022-12-25,140,2022,12,25,52
202251,2022-12-18,98,2022,12,18,51
202250,2022-12-11,102,2022,12,11,50
202249,2022-12-04,118,2022,12,4,49
202248,2022-11-27,173,2022,11,27,48
202247,2022-11-20,176,2022,11,20,47
202246,2022-11-13,254,2022,11,13,46
202245,2022-11-06,200,2022,11,6,45
202244,2022-10-30,159,2022,10,30,44
202243,2022-10-23,160,2022,10,23,43
202242,2022-10-16,204,2022,10,16,42
202241,2022-10-09,192,2022,10,9,41
202240,2022-10-02,297,2022,10,2,40
202239,2022-09-25,260,2022,9,25,39
202238,2022-09-18,360,2022,9,18,38
202237,2022-09-11,398,2022,9,11,37
202236,2022-09-04,451,2022,9,4,36
202235,2022-08-28,442,2022,8,28,35
202234,2022-08-21,473,2022,8,21,34
202233,2022-08-14,568,2022,8,14,33
202232,2022-08-07,605,2022,8,7,32
202231,2022-07-31,859,2022,7,31,31
202230,2022-07-24,735,2022,7,24,30
202229,2022-07-17,816,2022,7,17,29
202228,2022-07-10,747,2022,7,10,28
202227,2022-07-03,938,2022,7,3,27
202226,2022-06-26,1538,2022,6,26,26
202225,2022-06-19,1710,2022,6,19,25
202224,2022-06-12,1849,2022,6,12,24
202223,2022-06-05,2289,2022,6,5,23
202222,2022-05-29,2293,2022,5,29,22
202221,2022-05-22,1754,2022,5,22,21
202220,2022-05-15,2620,2022,5,15,20
202219,2022-05-08,2604,2022,5,8,19
202218,2022-05-01,2269,2022,5,1,18
202217,2022-04-24,1776,2022,4,24,17
202216,2022-04-17,1803,2022,4,17,16
202215,2022-04-10,1501,2022,4,10,15
202214,2022-04-03,1320,2022,4,3,14
202213,2022-03-27,989,2022,3,27,13
202212,2022-03-20,780,2022,3,20,12
202211,2022-03-13,687,2022,3,13,11
202210,2022-03-06,490,2022,3,6,10
202209,2022-02-27,439,2022,2,27,09
202208,2022-02-20,322,2022,2,20,08
202207,2022-02-13,298,2022,2,13,07
202206,2022-02-06,187,2022,2,6,06
202205,2022-01-30,138,2022,1,30,05
202204,2022-01-23,115,2022,1,23,04
202203,2022-01-16,169,2022,1,16,03
202202,2022-01-09,242,2022,1,9,02
202201,2022-01-02,210,2022,1,2,01
202152,2021-12-26,19,2021,12,26,52
202151,2021-12-19,133,2021,12,19,51
202150,2021-12-12,325,2021,12,12,50
202149,2021-12-05,279,2021,12,5,49
202148,2021-11-28,191,2021,11,28,48
202147,2021-11-21,198,2021,11,21,47
202146,2021-11-14,191,2021,11,14,46
202145,2021-11-07,195,2021,11,7,45
202144,2021-10-31,252,2021,10,31,44
202143,2021-10-24,221,2021,10,24,43
202142,2021-10-17,276,2021,10,17,42
202141,2021-10-10,270,2021,10,10,41
202140,2021-10-03,236,2021,10,3,40
202139,2021-09-26,336,2021,9,26,39
202138,2021-09-19,369,2021,9,19,38
202137,2021-09-12,401,2021,9,12,37
202136,2021-09-05,390,2021,9,5,36
202135,2021-08-29,443,2021,8,29,35
202134,2021-08-22,545,2021,8,22,34
202133,2021-08-15,722,2021,8,15,33
202132,2021-08-08,768,2021,8,8,32
202131,2021-08-01,904,2021,8,1,31
202130,2021-07-25,951,2021,7,25,30
202129,2021-07-18,1158,2021,7,18,29
202128,2021-07-11,1370,2021,7,11,28
202127,2021-07-04,1380,2021,7,4,27
202126,2021-06-27,1457,2021,6,27,26
202125,2021-06-20,1697,2021,6,20,25
202124,2021-06-13,1752,2021,6,13,24
202123,2021-06-06,2084,2021,6,6,23
202122,2021-05-30,1944,2021,5,30,22
202121,2021-05-23,1414,2021,5,23,21
202120,2021-05-16,1303,2021,5,16,20
202119,2021-05-09,1368,2021,5,9,19
202118,2021-05-02,1037,2021,5,2,18
202117,2021-04-25,751,2021,4,25,17
202116,2021-04-18,574,2021,4,18,16
202115,2021-04-11,496,2021,4,11,15
202114,2021-04-04,453,2021,4,4,14
202113,2021-03-28,258,2021,3,28,13
